iter	RMSE
0	14.54428091
1	14.11636179
2	13.6533923
3	13.24324506
4	12.89058014
5	12.54944699
6	12.24903449
7	11.95821383
8	11.66756652
9	11.41063711
10	11.08716388
11	10.76813874
12	10.5089489
13	10.23953831
14	10.01084653
15	9.76493001
16	9.530050557
17	9.308548715
18	9.088372692
19	8.882991164
20	8.723474442
21	8.550675803
22	8.428775816
23	8.282758578
24	8.15157419
25	8.017870373
26	7.88148099
27	7.768994721
28	7.649716293
29	7.546275851
30	7.453011256
31	7.351416571
32	7.247959535
33	7.162833444
34	7.070855749
35	6.993967912
36	6.909580695
37	6.849276245
38	6.78113761
39	6.726108914
40	6.660506574
41	6.601059056
42	6.54025216
43	6.480138644
44	6.434244319
45	6.385460922
46	6.327743132
47	6.287702101
48	6.241400486
49	6.200670808
50	6.157151145
51	6.125149898
52	6.092537339
53	6.055237592
54	6.020756511
55	5.988919773
56	5.96064296
57	5.927501666
58	5.903580063
59	5.882649797
60	5.863318183
61	5.84473253
62	5.825361578
63	5.809510021
64	5.791037048
65	5.768937017
66	5.748512306
67	5.734322
68	5.717315878
69	5.702234745
70	5.685813779
71	5.672881897
72	5.659542787
73	5.649266535
74	5.637578573
75	5.625106588
76	5.613752599
77	5.605603427
78	5.590899626
79	5.57501772
80	5.565034228
81	5.55444142
82	5.544619957
83	5.531161912
84	5.521234678
85	5.514142595
86	5.5052811
87	5.495580417
88	5.4862496
89	5.480660545
90	5.476107327
91	5.468676328
92	5.460629958
93	5.451942269
94	5.442922231
95	5.438143024
96	5.432385803
97	5.423923324
98	5.417029739
99	5.410960872
100	5.406103696
101	5.397207532
102	5.392988111
103	5.386648664
104	5.380566205
105	5.371843998
106	5.368691497
107	5.35977474
108	5.352519802
109	5.348304113
110	5.338872473
111	5.333778129
112	5.328408162
113	5.322720782
114	5.318752887
115	5.315821025
116	5.31293568
117	5.305950287
118	5.304164145
119	5.300910012
120	5.294794695
121	5.289104894
122	5.283162585
123	5.279938398
124	5.274872199
125	5.271795869
126	5.268109953
127	5.265845558
128	5.262043187
129	5.258166578
130	5.253990381
131	5.24850477
132	5.246410773
133	5.244461738
134	5.240786553
135	5.233998155
136	5.231114277
137	5.22688347
138	5.224647092
139	5.22060342
140	5.218158357
141	5.21706277
142	5.213608858
143	5.210944587
144	5.21002635
145	5.201558749
146	5.198626975
147	5.195365463
148	5.194410567
149	5.186678492
150	5.179692296
151	5.178033508
152	5.174466326
153	5.171662141
154	5.169998623
155	5.169662341
156	5.167056225
157	5.164869808
158	5.160035044
159	5.157394841
160	5.15319835
161	5.147078691
162	5.145902243
163	5.144191593
164	5.142869988
165	5.140219363
166	5.135737912
167	5.131467242
168	5.128782018
169	5.127571549
170	5.121680047
171	5.11445177
172	5.111106753
173	5.106551726
174	5.105571782
175	5.102378316
176	5.10138671
177	5.100171007
178	5.098725689
179	5.092549778
180	5.086639842
181	5.08222796
182	5.076454449
183	5.074411963
184	5.070074082
185	5.068590503
186	5.06422046
187	5.062219602
188	5.058567133
189	5.056485918
190	5.053033808
191	5.051548807
192	5.049697508
193	5.046807659
194	5.044936683
195	5.044768532
196	5.042586705
197	5.038493605
198	5.036276707
199	5.031319634
